Incident_Cases_Africa,Incident_Cases_Americas,Incident_Cases_Europe,Incident_Cases_EM,Incident_Cases_SEA,Incident_Cases_WP,Year
1369057,401467,364476,514550,2881520,2495012,1990
1431053,400364,395948,520770,2891210,2387610,1991
1488362,398595,431139,536720,3001910,2391717,1992
1550676,393269,467299,553130,3022700,2387391,1993
1637297,391212,509407,567210,3034390,2283073,1994
1731619,372892,534587,581409,3158180,2279556,1995
1818957,367333,558857,594576,3183960,2278941,1996
1901201,361292,577184,602812,3201740,2169450,1997
2020633,353544,591057,614915,3330610,2168676,1998
2117274,348053,600568,621890,3348490,2074795,1999
2204713,342203,602499,631810,3479480,2077022,2000
2300552,327636,591284,631010,3482370,2075346,2001
2373583,321817,589048,640060,3507760,1974428,2002
2438892,317447,575762,653030,3509860,1961792,2003
2492831,310749,557174,662740,3621860,1860419,2004
2543966,305204,542614,673090,3622050,1860449,2005
2552912,300903,518469,674640,3533050,1859605,2006
2578759,295765,492269,686000,3530040,1758299,2007
2582397,292696,467928,698780,3527930,1750673,2008
2596367,290765,444533,709260,3536030,1748263,2009
2574840,289697,422214,722930,3435020,1748261,2010
2601494,287864,396762,731110,3446030,1647938,2011
2599913,286149,372612,732160,3455030,1638046,2012
2595728,285213,359760,741950,3364040,1617034,2013
